MaPhong|	TenPhong|	DienTich|	Tang|	SoNguoiO|	GiaTien|	
A101|	Phòng A101|	32|	1|	4|	1200000|	
A102|	Phòng A102|	32|	1|	4|	1200000|	
A103|	Phòng A103|	64|	1|	4|	1200000|	
A112|	Phòng A112|	64|	1|	8|	600000|	
A204|	Phòng A204|	32|	2|	4|	1200000|	
A205|	Phòng A205|	32|	2|	8|	600000|	
A206|	Phòng A206|	32|	2|	4|	1200000|	
A223|	Phòng A223|	32|	2|	8|	600000|	
A305|	Phòng A305|	32|	3|	4|	1200000|	
A306|	Phòng A306|	32|	3|	4|	1200000|	
A307|	Phòng A307|	64|	3|	8|	600000|	
A313|	Phòng A313|	32|	3|	4|	1200000|	
A326|	Phòng A326|	64|	3|	8|	600000|	
A406|	Phòng A406|	32|	4|	4|	1200000|	
A412|	Phòng A412|	64|	4|	8|	600000|	
A525|	Phòng A525|	32|	5|	4|	1200000|	
A527|	Phòng A527|	64|	5|	8|	600000|	
